Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
China,CHN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,26.7,26.68,26.66,26.64,26.62,26.6,26.52,26.44,26.36,26.28,26.2,26.14,26.08,26.02,25.96,25.9,25.83333333,25.76666667,25.7,25.7
Colombia,COL,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.58,5.546,5.512,5.478,5.444,5.41,5.336,5.262,5.188,5.114,5.04,5.188,5.336,5.484,5.632,5.78,5.766666667,5.753333333,5.74,..
Colombia,COL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,15.1,14.72,14.34,13.96,13.58,13.2,12.84,12.48,12.12,11.76,11.4,11.1,10.8,10.5,10.2,9.9,9.533333333,9.166666667,8.8,8.8
Comoros,COM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.19,0.24,0.29,0.34,0.39,0.44,0.402,0.364,0.326,0.288,0.25,0.376,0.502,0.628,0.754,0.88,0.816666667,0.753333333,0.69,..
Comoros,COM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,39.5,38.16,36.82,35.48,34.14,32.8,31.78,30.76,29.74,28.72,27.7,26.86,26.02,25.18,24.34,23.5,22.6,21.7,20.8,20.8
"Congo, Dem. Rep.",COD,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.95,0.932,0.914,0.896,0.878,0.86,1.038,1.216,1.394,1.572,1.75,1.81,1.87,1.93,1.99,2.05,2.033333333,2.016666667,2,..
"Congo, Dem. Rep.",COD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,18.8,18.42,18.04,17.66,17.28,16.9,16.6,16.3,16,15.7,15.4,15.12,14.84,14.56,14.28,14,13.66666667,13.33333333,13,13
"Congo, Rep.",COG,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.45,3.51,3.57,3.63,3.69,3.75,4.234,4.718,5.202,5.686,6.17,6.516,6.862,7.208,7.554,7.9,8.356666667,8.813333333,9.27,..
"Congo, Rep.",COG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,11.9,11.96,12.02,12.08,12.14,12.2,12.32,12.44,12.56,12.68,12.8,12.94,13.08,13.22,13.36,13.5,13.76666667,14.03333333,14.3,14.3
Costa Rica,CRI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.55,5.524,5.498,5.472,5.446,5.42,5.296,5.172,5.048,4.924,4.8,4.792,4.784,4.776,4.768,4.76,4.796666667,4.833333333,4.87,..
Costa Rica,CRI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,18,17.4,16.8,16.2,15.6,15,14.52,14.04,13.56,13.08,12.6,12.18,11.76,11.34,10.92,10.5,10.03333333,9.566666667,9.1,9.1
Cote d'Ivoire,CIV,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.25,6.46,5.67,4.88,4.09,3.3,3.146,2.992,2.838,2.684,2.53,2.546,2.562,2.578,2.594,2.61,2.643333333,2.676666667,2.71,..
Cote d'Ivoire,CIV,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,18.7,18.12,17.54,16.96,16.38,15.8,15.28,14.76,14.24,13.72,13.2,12.78,12.36,11.94,11.52,11.1,10.63333333,10.16666667,9.7,9.7
Croatia,HRV,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,12.45,12.022,11.594,11.166,10.738,10.31,10.264,10.218,10.172,10.126,10.08,9.878,9.676,9.474,9.272,9.07,9.123333333,9.176666667,9.23,..
Croatia,HRV,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,34.4,34.5,34.6,34.7,34.8,34.9,35,35.1,35.2,35.3,35.4,35.54,35.68,35.82,35.96,36.1,36.3,36.5,36.7,36.7
Cuba,CUB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,4.98,5.056,5.132,5.208,5.284,5.36,5.292,5.224,5.156,5.088,5.02,5.15,5.28,5.41,5.54,5.67,5.723333333,5.776666667,5.83,..
Cuba,CUB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,40.8,39.28,37.76,36.24,34.72,33.2,31.96,30.72,29.48,28.24,27,26,25,24,23,22,20.9,19.8,18.7,18.7
Cyprus,CYP,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,10.86,11.174,11.488,11.802,12.116,12.43,12.214,11.998,11.782,11.566,11.35,11.232,11.114,10.996,10.878,10.76,10.77666667,10.79333333,10.81,..
Cyprus,CYP,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,40.9,40.56,40.22,39.88,39.54,39.2,38.9,38.6,38.3,38,37.7,37.44,37.18,36.92,36.66,36.4,36.1,35.8,35.5,35.5
Czechia,CZE,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,15,14.952,14.904,14.856,14.808,14.76,14.62,14.48,14.34,14.2,14.06,14.098,14.136,14.174,14.212,14.25,14.31666667,14.38333333,14.45,..
Czechia,CZE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,34.2,34.04,33.88,33.72,33.56,33.4,33.18,32.96,32.74,32.52,32.3,32.12,31.94,31.76,31.58,31.4,31.23333333,31.06666667,30.9,30.9
Denmark,DNK,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,12.67,12.594,12.518,12.442,12.366,12.29,12.032,11.774,11.516,11.258,11,10.872,10.744,10.616,10.488,10.36,10.32666667,10.29333333,10.26,..
Denmark,DNK,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,37.3,36,34.7,33.4,32.1,30.8,29.74,28.68,27.62,26.56,25.5,24.62,23.74,22.86,21.98,21.1,20.1,19.1,18.1,18.1
Djibouti,DJI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.62,1.552,1.484,1.416,1.348,1.28,1.158,1.036,0.914,0.792,0.67,0.634,0.598,0.562,0.526,0.49,0.47,0.45,0.43,..
