Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.06,79.16,79.26,79.11,80.16,80.16,80.81,81.11,81.21,81.41,81.66,82.11,81.97,82.22,82.72,82.32,82.57,82.58,82.68,82.83
French Polynesia,PYF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.3,72.66,73.02,73.38,73.75,74.12,74.47,74.79,75.09,75.36,75.61,75.84,76.07,76.31,76.55,76.79,77.02,77.25,77.46,77.66
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.26,57.97,57.79,57.76,57.89,58.18,58.64,59.23,59.9,60.64,61.4,62.17,62.92,63.65,64.32,64.91,65.42,65.84,66.19,66.47
Gambia,GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.96,56.36,56.76,57.16,57.55,57.94,58.31,58.67,59.01,59.33,59.64,59.92,60.18,60.43,60.67,60.91,61.17,61.44,61.74,62.05
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.9,70.07,70.22,70.35,70.45,70.54,70.64,70.77,70.95,71.18,71.46,71.77,72.1,72.41,72.71,72.97,73.21,73.41,73.6,73.77
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.93,78.33,78.23,78.38,78.68,78.93,79.13,79.53,79.74,79.84,79.99,80.44,80.54,80.49,81.09,80.64,80.99,80.99,80.89,81.29
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57,57.16,57.43,57.79,58.23,58.72,59.23,59.74,60.22,60.65,61.03,61.38,61.72,62.06,62.42,62.77,63.12,63.46,63.78,64.07
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.89,78.39,78.64,78.84,79.04,79.24,79.44,79.44,79.94,80.19,80.39,80.73,80.63,81.29,81.39,81.04,81.39,81.29,81.79,81.64
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.65,72.81,72.93,73.02,73.09,73.12,73.13,73.1,73.04,72.96,72.87,72.77,72.67,72.58,72.5,72.45,72.41,72.39,72.38,72.4
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.01,75.37,75.73,76.07,76.39,76.69,76.97,77.23,77.47,77.71,77.94,78.17,78.41,78.65,78.9,79.14,79.39,79.63,79.86,80.07
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.85,68.3,68.72,69.09,69.44,69.76,70.08,70.41,70.75,71.11,71.48,71.86,72.24,72.6,72.94,73.25,73.54,73.81,74.06,74.3
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.2,51.26,51.48,51.9,52.5,53.24,54.05,54.86,55.61,56.28,56.86,57.39,57.91,58.45,59.02,59.6,60.17,60.71,61.19,61.6
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.37,50.74,51.12,51.5,51.88,52.28,52.69,53.14,53.61,54.11,54.63,55.14,55.65,56.12,56.56,56.96,57.33,57.67,58,58.32
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.24,65.53,65.83,66.12,66.41,66.69,66.97,67.25,67.52,67.79,68.06,68.32,68.58,68.82,69.05,69.26,69.45,69.62,69.77,69.91
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.13,57.38,57.66,57.96,58.29,58.65,59.03,59.41,59.78,60.15,60.51,60.88,61.26,61.66,62.07,62.49,62.9,63.29,63.66,64
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.69,70.98,71.25,71.51,71.77,72.03,72.29,72.54,72.8,73.06,73.32,73.57,73.81,74.05,74.28,74.5,74.7,74.9,75.09,75.27
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.25,72.25,72.35,72.3,72.65,72.65,73.1,73.15,73.7,73.9,74.21,74.86,75.06,75.57,75.76,75.57,76.06,75.82,76.07,76.32
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.65,80.69,80.5,80.96,81,81.5,81.16,81.45,81.61,81.75,81.9,82.36,82.92,82.06,82.86,82.47,82.2,82.66,82.86,83.16
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.51,62.91,63.3,63.7,64.1,64.5,64.92,65.35,65.79,66.24,66.69,67.13,67.55,67.93,68.29,68.61,68.9,69.17,69.42,69.66
