Norway,7.95,..,..,..,..,8.87,..,..,..,..,8.94,..,..,..,..,7.52,..,..,7.41,..
Oman,6.56,..,..,..,..,1.56,..,..,..,..,0.73,..,..,..,..,0.77,..,..,0.78,..
Pakistan,0.085,..,..,..,..,0.16,..,..,..,..,0.19,..,..,..,..,0.29,..,..,0.34,..
Panama,5.48,..,..,..,..,5.49,..,..,..,..,6.84,..,..,..,..,7.71,..,..,7.98,..
Papua New Guinea,1.79,..,..,..,..,1.6,..,..,..,..,1.67,..,..,..,..,1.39,..,..,1.39,..
Paraguay,6.38,..,..,..,..,6.66,..,..,..,..,7.58,..,..,..,..,7.26,..,..,7.58,..
Peru,6.54,..,..,..,..,6.99,..,..,..,..,7.69,..,..,..,..,6.63,..,..,6.38,..
Philippines,6.06,..,..,..,..,5.67,..,..,..,..,6.98,..,..,..,..,6.7,..,..,6.86,..
Poland,9.17,..,..,..,..,10.6,..,..,..,..,11.21,..,..,..,..,11.63,..,..,11.71,..
Portugal,14.08,..,..,..,..,13.37,..,..,..,..,12.51,..,..,..,..,11.88,..,..,12.03,..
Qatar,1.15,..,..,..,..,1.67,..,..,..,..,1.69,..,..,..,..,1.62,..,..,1.59,..
Romania,17.45,..,..,..,..,15.84,..,..,..,..,13.97,..,..,..,..,11.64,..,..,11.74,..
Russian Federation,15.73,..,..,..,..,17.36,..,..,..,..,15.87,..,..,..,..,12.47,..,..,11.19,..
Rwanda,13.73,..,..,..,..,13,..,..,..,..,10.27,..,..,..,..,9.26,..,..,8.95,..
Samoa,3.79,..,..,..,..,4.2,..,..,..,..,2.97,..,..,..,..,2.59,..,..,2.66,..
Sao Tome and Principe,8.2,..,..,..,..,8.72,..,..,..,..,8.34,..,..,..,..,7.19,..,..,5.88,..
Saudi Arabia,0.18,..,..,..,..,0.17,..,..,..,..,0.17,..,..,..,..,0.2,..,..,0.19,..
Senegal,0.96,..,..,..,..,0.85,..,..,..,..,0.6,..,..,..,..,0.73,..,..,0.76,..
Serbia,..,..,..,..,..,..,..,..,..,..,11.69,..,..,..,..,8.7,..,..,8.75,..
Sierra Leone,5.8,..,..,..,..,5.57,..,..,..,..,5.83,..,..,..,..,5.63,..,..,5.7,..
Singapore,2.49,..,..,..,..,1.78,..,..,..,..,2.19,..,..,..,..,2.07,..,..,2.03,..
Slovenia,12.6,..,..,..,..,12.3,..,..,..,..,11.54,..,..,..,..,12.74,..,..,11.9,..
Solomon Islands,1.2,..,..,..,..,1.6,..,..,..,..,1.6,..,..,..,..,1.55,..,..,1.83,..
South Africa,10.02,..,..,..,..,9.58,..,..,..,..,10.04,..,..,..,..,9.61,..,..,9.52,..
